name,skills,description,experience,location,ratings
Fatima Khan_57,"JavaScript, Power BI, Data Analysis, AWS",Innovative problem solver with expertise in modern software engineering practices.,4,"Singapore, SG",2
Michael Chen_58,"Java, React, SQL, Node.js, Computer Vision, Kubernetes",Strong collaborator with experience in cross-functional teams and leadership roles.,11,"London, UK",4
Michael Chen_59,"Data Analysis, React, C++, Tableau, Deep Learning",Innovative problem solver with expertise in modern software engineering practices.,4,"Hyderabad, IN",2
Sophia Lee_60,"React, Node.js, Deep Learning",Strong collaborator with experience in cross-functional teams and leadership roles.,3,"Bangalore, IN",2
David Wilson_61,"Java, NLP, Python",Innovative problem solver with expertise in modern software engineering practices.,11,"Toronto, CA",4
Priya Sharma_62,"Kubernetes, React, Java, C++",Creative thinker with experience across multiple industries and domains.,3,"Dubai, AE",5
Alice Johnson_63,"Deep Learning, Machine Learning, Docker",Focused on delivering impactful solutions with measurable business value.,4,"London, UK",2
Sophia Lee_64,"Kubernetes, Data Analysis, Machine Learning",Innovative problem solver with expertise in modern software engineering practices.,3,"Berlin, DE",2
Priya Sharma_65,"Data Analysis, C++, Tableau, Deep Learning, Java",Experienced professional with a strong background in technology and innovation.,14,"Singapore, SG",4
David Wilson_66,"Machine Learning, Docker, React, SQL, Power BI",Committed to building efficient and user-friendly applications.,12,"San Francisco, US",2
Alice Johnson_67,"Data Analysis, Node.js, JavaScript, Python",Innovative problem solver with expertise in modern software engineering practices.,14,"San Francisco, US",2
Priya Sharma_68,"React, Java, SQL",Committed to building efficient and user-friendly applications.,2,"New York, US",4
Emily Brown_69,"React, Tableau, Node.js, Data Analysis",Creative thinker with experience across multiple industries and domains.,6,"Dubai, AE",4
Priya Sharma_70,"JavaScript, NLP, Tableau, Java, Node.js, Kubernetes",Dedicated to continuous learning and applying cutting-edge tools in projects.,13,"Sydney, AU",1
Emily Brown_71,"React, Docker, Power BI",Experienced professional with a strong background in technology and innovation.,6,"New York, US",5
Aarav Mehta_72,"Java, Python, AWS",Committed to building efficient and user-friendly applications.,8,"Toronto, CA",5
Alice Johnson_73,"SQL, Node.js, Deep Learning",Expert in data-driven decision making and advanced analytics.,7,"Toronto, CA",2
Alice Johnson_74,"Docker, Node.js, AWS",Focused on delivering impactful solutions with measurable business value.,5,"Toronto, CA",5
David Wilson_75,"Machine Learning, Node.js, React, Python, Kubernetes",Experienced professional with a strong background in technology and innovation.,2,"New York, US",2
Aarav Mehta_76,"Node.js, Java, Tableau",Expert in data-driven decision making and advanced analytics.,2,"New York, US",1
John Smith_77,"React, NLP, Docker, SQL, Machine Learning",Experienced professional with a strong background in technology and innovation.,6,"San Francisco, US",4
David Wilson_78,"Power BI, Python, AWS, NLP, Tableau",Passionate about building scalable systems and solving real-world problems.,5,"San Francisco, US",4
Sophia Lee_79,"Python, React, AWS, Power BI",Strong collaborator with experience in cross-functional teams and leadership roles.,11,"Dubai, AE",4
Michael Chen_80,"NLP, Kubernetes, Deep Learning, Computer Vision, Node.js, Machine Learning",Passionate about building scalable systems and solving real-world problems.,2,"Singapore, SG",5
David Wilson_81,"Java, Node.js, NLP, React, SQL, Kubernetes",Results-oriented professional with a proven track record in technology delivery.,6,"Bangalore, IN",1
Sophia Lee_82,"Deep Learning, Computer Vision, Tableau, Power BI",Committed to building efficient and user-friendly applications.,5,"San Francisco, US",5
Raj Patel_83,"Kubernetes, Deep Learning, JavaScript, React, AWS, SQL",Innovative problem solver with expertise in modern software engineering practices.,3,"Berlin, DE",5
David Wilson_84,"C++, Kubernetes, Deep Learning, Machine Learning, Tableau",Dedicated to continuous learning and applying cutting-edge tools in projects.,9,"Berlin, DE",1
Sophia Lee_85,"SQL, Deep Learning, Machine Learning, JavaScript, C++",Expert in data-driven decision making and advanced analytics.,9,"Sydney, AU",1
Alice Johnson_86,"Node.js, Docker, AWS, NLP, Power BI",Expert in data-driven decision making and advanced analytics.,1,"Berlin, DE",1
Raj Patel_87,"Computer Vision, C++, React, Node.js, Kubernetes",Focused on delivering impactful solutions with measurable business value.,8,"Sydney, AU",1
Sophia Lee_88,"NLP, Kubernetes, Deep Learning, Docker",Focused on delivering impactful solutions with measurable business value.,15,"Berlin, DE",4
David Wilson_89,"Computer Vision, JavaScript, AWS, Power BI, Deep Learning",Expert in data-driven decision making and advanced analytics.,6,"Toronto, CA",3
Alice Johnson_90,"Kubernetes, Computer Vision, Deep Learning",Strong collaborator with experience in cross-functional teams and leadership roles.,8,"London, UK",3
Michael Chen_91,"React, AWS, NLP, Node.js, C++",Committed to building efficient and user-friendly applications.,12,"New York, US",1
Sophia Lee_92,"Computer Vision, AWS, C++, Tableau, Data Analysis, Kubernetes",Strong collaborator with experience in cross-functional teams and leadership roles.,13,"Toronto, CA",3
Priya Sharma_93,"Java, Machine Learning, Power BI, Python, C++",Passionate about building scalable systems and solving real-world problems.,8,"San Francisco, US",3
Raj Patel_94,"Kubernetes, Tableau, Data Analysis",Experienced professional with a strong background in technology and innovation.,2,"Sydney, AU",1
David Wilson_95,"Kubernetes, Machine Learning, SQL, C++",Expert in data-driven decision making and advanced analytics.,12,"Berlin, DE",3
Alice Johnson_96,"JavaScript, Node.js, C++, Machine Learning, Docker",Results-oriented professional with a proven track record in technology delivery.,9,"London, UK",5
Raj Patel_97,"Machine Learning, Node.js, SQL, Java, Kubernetes",Strong collaborator with experience in cross-functional teams and leadership roles.,11,"Singapore, SG",2
Emily Brown_98,"Power BI, Data Analysis, Deep Learning, Node.js, Python, Computer Vision",Creative thinker with experience across multiple industries and domains.,14,"Dubai, AE",2
Alice Johnson_99,"JavaScript, Data Analysis, Docker, AWS, Machine Learning, NLP",Committed to building efficient and user-friendly applications.,4,"Hyderabad, IN",1
